created_at,full_text,hashtags,user_mentions
tue jun 02 15:36:15 +0000 2020, rt se dio esistesse lo avrebbe fulminato proprio questo istante georgefloyd bibbia trump anomymous 2giugno blacklif…,"georgefloyd,bibbia,trump,anomymous,2giugno",iltrumpo
tue jun 02 15:36:15 +0000 2020, rt se dio esistesse lo avrebbe fulminato proprio questo istante georgefloyd bibbia trump anomymous 2giugno blacklif…,"georgefloyd,bibbia,trump,anomymous,2giugno",iltrumpo
tue jun 02 15:36:15 +0000 2020, rt ks americaortrump police ease protest instead using violence americans trump anom…,"americaortrump,trump",kinsilee_ks
tue jun 02 15:36:15 +0000 2020, rt solo por mencionar algunos porque hay muchos más trump tiene en contra soros bezos gates slim cuatro de las person…,trump,omarbula
tue jun 02 15:36:16 +0000 2020, rt taylorswift arremete contra el presidente donaldtrump en las redes vía 📸 👉 …,"taylorswift,donaldtrump","telemundo,latinxnow,taylorswift13"
tue jun 02 15:36:16 +0000 2020, rt alllivesmatter blacklifematters blakelivesmatter blackoutday covid19 anonymous georgefloydprotests georgefloyd ame…,"alllivesmatter,blacklifematters,blakelivesmatter,blackoutday,covid19,anonymous,georgefloydprotests,georgefloyd",batmazunal
tue jun 02 15:36:16 +0000 2020, rt alllivesmatter blacklifematters blakelivesmatter blackoutday covid19 anonymous georgefloydprotests georgefloyd ame…,"alllivesmatter,blacklifematters,blakelivesmatter,blackoutday,covid19,anonymous,georgefloydprotests,georgefloyd",batmazunal
tue jun 02 15:36:16 +0000 2020, rt alllivesmatter blacklifematters blakelivesmatter blackoutday covid19 anonymous georgefloydprotests georgefloyd ame…,"alllivesmatter,blacklifematters,blakelivesmatter,blackoutday,covid19,anonymous,georgefloydprotests,georgefloyd",batmazunal
tue jun 02 15:36:16 +0000 2020, rt alllivesmatter blacklifematters blakelivesmatter blackoutday covid19 anonymous georgefloydprotests georgefloyd ame…,"alllivesmatter,blacklifematters,blakelivesmatter,blackoutday,covid19,anonymous,georgefloydprotests,georgefloyd",batmazunal
tue jun 02 15:36:16 +0000 2020, rt alllivesmatter blacklifematters blakelivesmatter blackoutday covid19 anonymous georgefloydprotests georgefloyd ame…,"alllivesmatter,blacklifematters,blakelivesmatter,blackoutday,covid19,anonymous,georgefloydprotests,georgefloyd",batmazunal
